1.부품명 보정,키워드1,키워드2,키워드3,키워드4,키워드5,키워드6
14 WHEEL&TIRE A,마모,크랙,파손,깨짐,변형,기타
"250,SLIDE RAIL-UPPER",파손,,,,,
"300,SLIDE RAIL-UPPER",파손,,,,,
3PIN 하네스(카이스),작동불량,기타,,,,
3WAY 밸브(진우/캐리어),파손,작동불량,불량,기타,,
5핀릴레이,파손,작동불량,불량,기타,,
ACCELERATOR ASSY,교체,작동불량,파손,기타,,
ADVERTISEMENT BOARD A,분실,파손,,,,
BALL JOINT A-LOWER,파손,기타,,,,
BAR-DOOR LOCKER,파손,,,,,
BARRIER-REFRIGERATOR,파손,,,,,
"BARRIER-REFRIGERATOR,MID",파손,,,,,
BATTERY CABLE,파손,,,,,
BATTERY PACK ASSY (H3.0/H3.5),멈춤,꺼짐,셀,에러,기타,
BCM,멈춤,에러,불량,작동불량,기타,
BEARING EM BRAKE,파손,,,,,
"BOLT-SHAFT,M8X1.25",파손,,,,,
BRAKE LEVER ASSY,파손,작동불량,기타,,,
"BRKT-MOTOR ASSY,LH",파손,,,,,
"BRKT-MOTOR ASSY,RH",파손,,,,,
BRKT-REFRIGERATOR,파손,,,,,
BRKT-STABILIZER A MTG,파손,,,,,
BRKT-WINDOW HOLDING,파손,,,,,
"CALIPER ASSY,LH",파손,마모,기타,,,
"CALIPER ASSY,RH",파손,마모,기타,,,
CANOPY CENTER BODY,파손,,,,,
CANOPY LH_SIDE_BODY ASSY,파손,,,,,
CANOPY PC PLATE,파손,,,,,
CANOPY RH_SIDE_BODY ASSY,파손,,,,,
CANOPY ROOF_ASSY,파손,,,,,
CANOPY SIDE_BRACKET,파손,,,,,
CANOPY-HOLDER,파손,,,,,
CAP-COCO YELLOW,파손,,,,,
"CAP-DAMPING HINGE,LH",파손,,,,,
"CAP-DAMPING HINGE,RH",파손,,,,,
CAP-DARK GRAY,파손,,,,,
CAP-HINGE,파손,,,,,
CARD READER BRKT,파손,,,,,
CARD READER STICKER,파손,,,,,
CHARGER (H3),충전,불량,에러,기타,,
"CIRCULAR PIPE-FRT BUMPER,OTR",파손,,,,,
CLAMP-EM BRAKE,파손,,,,,
CLUSTER MODULE (H3),화면,안됨,파손,기타,,
COLUMN & HELICAL GEAR BOX ASSY,파손,,,,,
COMPRESSOR ASSY-REFRIGERATOR,불량,파손,기타,,,
"CONSOLE-SLIDER BOX,REAR LH A",파손,,,,,
"CONSOLE-SLIDER BOX,REAR RH A",파손,,,,,
"CONSOLE-SLIDER BOX,SIDE A",파손,,,,,
"CONSOLE-SLIDER,REAR LW DOOR",파손,,,,,
"CONSOLE-SLIDER,REAR LW DOOR INNER",파손,,,,,
"CONSOLE-SLIDER,REAR LW DOOR INNER PIN",파손,,,,,
"CONTROL ARM A,LH-FRONT",파손,변형,,,,
"CONTROL ARM A,LH-REAR",파손,변형,,,,
"CONTROL ARM A,RH-FRONT",파손,변형,,,,
"CONTROL ARM A,RH-REAR",파손,변형,,,,
CONTROL UNIT ASSY,불량,에러,기타,,,
COVER MAT-FOOTREST,마모,변형,파손,기타,,
COVER-BRAKE SENSOR,파손,안됨,운행,에러,기타,
COVER-DAMPING HINGE,파손,,,,,
"COVER-FOOTREST,BOTTOM",파손,,,,,
"COVER-FOOTREST,REAR",파손,,,,,
"COVER-FOOTREST,TOP",파손,,,,,
"COVER-KEY LATCH,FRONT",파손,,,,,
"COVER-KEY LATCH,MID",파손,,,,,
"COVER-KEY LATCH,REAR",파손,,,,,
"COVER-MOTOR,FRONT",파손,,,,,
"COVER-MOTOR,MID",파손,,,,,
"COVER-MOTOR,REAR",파손,,,,,
COVER-PCB ASSY,파손,,,,,
DAMPER-COMPRESSOR,파손,,,,,
"DAMPER-DOOR,LH",파손,,,,,
"DAMPER-DOOR,RH",파손,,,,,
DAMPER-MOTOR ASSY,파손,,,,,
DAMPING HINGE ASSY,파손,,,,,
DC NCT 저항,불량,변형,멈춤,기타,,
DC/DC CONVERTER (H2.5),불량,멈춤,단선,에러,기타,
DC/DC CONVERTER (H2.5/H3.5),불량,멈춤,단선,에러,기타,
DC/DC CONVERTER (H3),불량,멈춤,단선,에러,기타,
DC감속기판,파손,,,,,
DC너클프론트,파손,,,,,
DC로어암,파손,,,,,
DC발판쇼바,파손,,,,,
DC발판프레임,파손,,,,,
DC브라켓봉,파손,,,,,
DC앞범퍼브라켓ASSY,파손,,,,,
DC어퍼암,파손,,,,,
DC전후방쇼바,파손,,,,,
DC조인트 m12 (오1.75),파손,,,,,
DC조인트 m12 (왼1.75),파손,,,,,
DC콘트롤러 - PG,불량,멈춤,기타,,,
DC키스위치,파손,,,,,
DC프론트로드,파손,,,,,
DISPLAY ASSY,불량,안됨,파손,,,
"DOOR HANDLE,FR",파손,,,,,
"DOOR HANDLE,RR",파손,,,,,
"DOOR-REFRIGERATOR,FRONT",파손,,,,,
"DOOR-REFRIGERATOR,MID",파손,,,,,
"DOOR-REFRIGERATOR,REAR",파손,,,,,
"DOOR-REFRIGERATOR,SIDE LH",파손,,,,,
"DOOR-REFRIGERATOR,SIDE RH",파손,,,,,
"DRAWER-REFRIGERATOR,LH",파손,,,,,
"DRAWER-REFRIGERATOR,RH",파손,,,,,
DRIER ASSY,불량,,,,,
"DRIVESHAFT ASSY, LH",고무,누유,이탈,파손,기타,
"DRIVESHAFT ASSY, RH",고무,누유,이탈,파손,기타,
ELECTROMAGNETIC BRAKE ASSY,멈춤,파손,기타,,,
ELECTRONIC BACK HORN,불량,안됨,기타,,,
ELECTRONIC HORN,불량,안됨,기타,,,
