1.부품명 보정,3.키워드_1,4.키워드_2,5.키워드_3,6.키워드_4,7.키워드_5,8.키워드_6,9.키워드_7,10.키워드_8,11.키워드_9,12.키워드_10,13.키워드_11,14.키워드_12,15.키워드_13,16.키워드_14,17.키워드_15,18.키워드_16,19.키워드_17,20.키워드_18,21.키워드_19,22.키워드_20,23.키워드_21,24.키워드_22,25.키워드_23,26.키워드_24,27.키워드_25,28.키워드_26,29.키워드_27,30.키워드_28,31.키워드_29,32.키워드_30,33.키워드_31,34.키워드_32
14 WHEEL&TIRE A,마모,크랙,파손,교체,유격,소음,베어링,고무,누유,흔들림,운행,깨짐,안됨,불량,이탈,셀,변형,휘어짐,에러,충돌,충전,멈춤,소리,분실,작동불량,고장,버튼,단선,온도,긁힘,,
"250,SLIDE RAIL-UPPER",파손,마모,교체,충돌,소음,고장,깨짐,크랙,,,,,,,,,,,,,,,,,,,,,,,,
"300,SLIDE RAIL-UPPER",파손,충돌,마모,교체,운행,크랙,휘어짐,안됨,불량,소음,셀,에러,작동불량,깨짐,멈춤,이탈,유격,베어링,충전,분실,고장,흔들림,누유,오염,단선,고무,변형,부풀,버튼,,,
3PIN 하네스(카이스),불량,작동불량,온도,파손,교체,안됨,마모,고장,휘어짐,에러,누설,,,,,,,,,,,,,,,,,,,,,
3WAY 밸브(진우/캐리어),안됨,파손,불량,작동불량,교체,누설,,,,,,,,,,,,,,,,,,,,,,,,,,
5핀릴레이,불량,작동불량,안됨,운행,멈춤,파손,셀,교체,고장,에러,마모,충전,소음,누유,단선,변형,분실,버튼,베어링,이탈,누설,온도,,,,,,,,,,
ACCELERATOR ASSY,교체,셀,운행,멈춤,파손,불량,안됨,작동불량,마모,고장,단선,에러,크랙,분실,베어링,소음,누유,고무,충전,깨짐,버튼,유격,흔들림,소리,,,,,,,,
ADVERTISEMENT BOARD A,분실,파손,마모,교체,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALL JOINT A-LOWER,마모,파손,유격,흔들림,교체,크랙,휘어짐,베어링,고무,소음,안됨,운행,누유,이탈,충돌,깨짐,불량,분실,고장,단선,버튼,소리,,,,,,,,,,
BAR-DOOR LOCKER,파손,마모,교체,충돌,안됨,분실,불량,운행,작동불량,크랙,충전,에러,변형,소음,누유,오염,유격,멈춤,고장,깨짐,부풀,휘어짐,버튼,셀,온도,,,,,,,
BARRIER-REFRIGERATOR,파손,분실,마모,충돌,오염,작동불량,불량,안됨,운행,소음,누유,교체,휘어짐,크랙,버튼,유격,멈춤,,,,,,,,,,,,,,,
"BARRIER-REFRIGERATOR,MID",파손,분실,오염,마모,충돌,소음,누유,교체,크랙,유격,운행,멈춤,,,,,,,,,,,,,,,,,,,,
BATTERY CABLE,파손,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY PACK ASSY (H3.0/H3.5),운행,에러,셀,충전,멈춤,안됨,교체,불량,작동불량,마모,크랙,파손,안들어옴,고장,온도,분실,소음,깨짐,유격,베어링,,,,,,,,,,,,
BCM,안됨,불량,작동불량,운행,에러,마모,교체,안들어옴,멈춤,셀,,,,,,,,,,,,,,,,,,,,,,
BEARING EM BRAKE,파손,이탈,고무,변형,누유,휘어짐,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLT-SHAFT,M8X1.25",파손,작동불량,교체,불량,유격,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAKE LEVER ASSY,파손,불량,안됨,마모,작동불량,운행,누유,멈춤,셀,소음,교체,충돌,베어링,고장,깨짐,휘어짐,크랙,버튼,유격,,,,,,,,,,,,,
"BRKT-MOTOR ASSY,LH",파손,변형,교체,불량,고무,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRKT-MOTOR ASSY,RH",파손,이탈,변형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKT-REFRIGERATOR,교체,누설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKT-STABILIZER A MTG,파손,교체,마모,유격,휘어짐,변형,고무,운행,크랙,소음,충돌,충전,누유,불량,안됨,베어링,이탈,멈춤,단선,온도,,,,,,,,,,,,
