1.부품명 보정,2.실증상(대표),3.키워드1,4.키워드2,5.키워드3,6.키워드4,7.키워드5,8.키워드6,9.키워드7,10.키워드8,11.키워드9,12.키워드10,13.키워드11,14.키워드12,15.키워드13,16.키워드14,17.키워드15
14 WHEEL&TIRE A,14 WHEEL & TIRE A(R) 앞바퀴마모 주행거리7011 외관파손,마모(8502),크랙(1200),파손(481),교체(376),유격(167),소음(156),베어링(119),고무(95),누유(74),흔들림(62),운행(57),깨짐(38),안됨(36),불량(32),이탈(25)
"250,SLIDE RAIL-UPPER","RAIL ASSY-DRAWER,LH 파손",파손(102),마모(8),교체(4),충돌(3),소음(1),고장(1),깨짐(1),크랙(1),충격(1),훼손(1),,,,,
"300,SLIDE RAIL-UPPER","CONSOLE-SLIDER BOX,SIDE A 파손",파손(2290),충돌(240),마모(176),교체(63),충격(53),운행(46),크랙(21),휘어짐(20),안됨(12),불량(11),소음(7),셀(7),에러(7),작동불량(6),깨짐(6)
3PIN 하네스(카이스),스마트바퀴 마모,불량(12),작동불량(9),온도(9),파손(3),교체(3),안됨(3),마모(2),고장(2),휘어짐(1),에러(1),누설(1),,,,
3WAY 밸브(진우/캐리어),콤프레샤(BD250)_콤프작동 불능으로 인한 교체,안됨(6),파손(3),불량(3),작동불량(2),교체(1),누설(1),,,,,,,,,
5핀릴레이,SWITCH-LIMIT (커넥터) 고장,불량(134),작동불량(94),안됨(91),운행(80),멈춤(65),파손(40),셀(32),교체(17),고장(16),에러(16),접촉(15),마모(10),충전(10),소음(8),누유(3)
ACCELERATOR ASSY,REAR LAMP RH 파손,교체(215),셀(58),운행(47),멈춤(45),파손(34),불량(30),안됨(24),작동불량(17),마모(6),고장(6),단선(6),에러(6),크랙(4),분실(3),베어링(3)
ADVERTISEMENT BOARD A,ADVERTISEMENT BOARD A 더미분실,분실(6),파손(5),마모(3),교체(1),,,,,,,,,,,
BALL JOINT A-LOWER,STABILIZER LINK A 부식으로 인해 리어얼라인먼트 조절 안됨,마모(229),파손(80),유격(75),흔들림(51),교체(32),크랙(21),휘어짐(15),베어링(14),고무(10),소음(9),안됨(8),운행(8),누유(4),이탈(4),진동(3)
BAR-DOOR LOCKER,BAR-DOOR LOCKER 파손,파손(1174),마모(81),교체(30),충격(29),충돌(11),안됨(8),분실(7),불량(7),운행(7),작동불량(5),크랙(5),충전(4),에러(3),변형(2),소음(2)
BARRIER-REFRIGERATOR,"KNUCKLE ASSY,RH-REAR 토탈케어",파손(62),분실(18),마모(7),충돌(3),오염(3),작동불량(2),불량(2),안됨(2),운행(2),소음(1),누유(1),교체(1),휘어짐(1),크랙(1),버튼(1)
"BARRIER-REFRIGERATOR,MID","BARRIER-REFRIGERATOR,MID 파손",파손(52),분실(3),오염(3),마모(2),충돌(1),소음(1),누유(1),교체(1),크랙(1),유격(1),운행(1),멈춤(1),탈락(1),진동(1),충격(1)
BATTERY CABLE,BATTERY CABLE SK에서 베터리 점검중 파손 12월,파손(1),,,,,,,,,,,,,,
BATTERY PACK ASSY (H3.0/H3.5),"BATTERY PACK ASSY (111Ah) BM50, MO58, 완충안됨, 운행 중 코코운행불가",운행(332),에러(255),셀(167),충전(160),멈춤(122),안됨(120),교체(68),불량(56),작동불량(40),마모(35),크랙(6),파손(4),안들어옴(3),고장(2),온도(2)
BCM,BCM 작동불량 ,안됨(26),불량(8),작동불량(5),운행(5),에러(5),마모(4),교체(4),안들어옴(3),멈춤(3),셀(1),,,,,
BEARING EM BRAKE,"RAIL ASSY-DRAWER,LH파손",파손(10),이탈(2),고무(2),변형(1),누유(1),휘어짐(1),,,,,,,,,
"BOLT-SHAFT,M8X1.25",STEERING GEAR ASSY 파손 ,파손(1),작동불량(1),교체(1),불량(1),유격(1),,,,,,,,,,
BRAKE LEVER ASSY,BRAKE LEVER ASSY 리턴안됨,파손(43),불량(39),안됨(32),마모(13),작동불량(7),운행(6),누유(5),멈춤(4),셀(4),소음(3),교체(3),충돌(2),베어링(2),충격(2),고장(1)
"BRKT-MOTOR ASSY,LH","PANEL-LOWER COVER,REAR RH_외장파손으로인한 교체",파손(3),변형(2),교체(1),불량(1),고무(1),,,,,,,,,,
"BRKT-MOTOR ASSY,RH",변형,파손(2),이탈(2),변형(1),,,,,,,,,,,,
BRKT-REFRIGERATOR,"CONSOLE-SLIDER BOX,SIDE A_사고카트 12월",교체(1),누설(1),,,,,,,,,,,,,
BRKT-STABILIZER A MTG,BRKT-STABILIZER A MTG,파손(197),교체(32),마모(25),유격(19),휘어짐(16),변형(12),고무(12),운행(8),크랙(6),충격(4),소음(3),진동(3),충돌(2),충전(2),누유(2)
BRKT-WINDOW HOLDING,BRKT-WINDOW HOLDING 보강,파손(110),충돌(17),마모(7),분실(5),깨짐(4),충격(4),교체(3),변형(2),소음(2),크랙(2),유격(2),작동불량(1),불량(1),운행(1),흔들림(1)
"CALIPER ASSY,LH","KNUCKLE ASSY,LH-REAR 파손",마모(2),교체(2),파손(1),,,,,,,,,,,,
"CALIPER ASSY,RH",CALIPER ASSY RH 뒷바퀴 휠 파손으로 캘리퍼 갈림,파손(8),교체(3),마모(2),크랙(1),단선(1),진동(1),,,,,,,,,
CANOPY CENTER BODY,CANOPY ROOF_ASSY,파손(1853),충돌(595),마모(87),충격(79),운행(74),휘어짐(69),교체(33),꺾임(25),크랙(16),흔들림(14),불량(9),연결(9),소음(6),안됨(5),변형(4)
CANOPY LH_SIDE_BODY ASSY,CANOPY ROOF_ASSY 파손,파손(2030),충돌(677),마모(99),충격(90),휘어짐(82),운행(76),교체(35),꺾임(28),크랙(17),흔들림(14),연결(11),불량(9),안됨(7),소음(6),변형(4)
CANOPY PC PLATE,"14 WHEEL & TIRE A(R) 뒷바퀴크랙 주행거리3733
외관파손",파손(2445),충돌(640),마모(171),충격(101),운행(79),휘어짐(66),교체(46),깨짐(28),꺾임(27),크랙(25),흔들림(15),불량(14),안됨(14),연결(13),오염(12)
CANOPY RH_SIDE_BODY ASSY,CANOPY ROOF_ASSY 파손,파손(2030),충돌(677),마모(99),충격(90),휘어짐(82),운행(76),교체(35),꺾임(28),크랙(17),흔들림(14),연결(11),불량(9),안됨(7),소음(6),변형(4)
CANOPY ROOF_ASSY,CANOPY ROOF_ASSY 파손,파손(2030),충돌(658),마모(98),충격(81),운행(80),휘어짐(66),교체(33),꺾임(26),크랙(18),흔들림(14),불량(8),연결(7),소음(6),안됨(6),변형(4)
CANOPY SIDE_BRACKET,CANOPY SIDE_BRACKET,파손(125),마모(10),충돌(5),충격(5),크랙(3),소음(2),교체(2),유격(2),충전(1),분실(1),휘어짐(1),안됨(1),운행(1),,
CANOPY-HOLDER,CANOPY-HOLDER 토탈케어,파손(727),충돌(89),마모(87),교체(27),운행(26),휘어짐(22),충격(21),크랙(17),꺾임(14),누설(11),유격(9),불량(8),흔들림(8),소음(7),변형(4)
CAP-COCO YELLOW,"RAIL ASSY-DRAWER,LH파손",파손(25),교체(15),분실(12),충전(4),불량(4),온도(3),누설(2),마모(1),충돌(1),휘어짐(1),크랙(1),운행(1),멈춤(1),에러(1),
"CAP-DAMPING HINGE,LH","CAP-DAMPING HINGE,LH 파손",파손(1),,,,,,,,,,,,,,
"CAP-DAMPING HINGE,RH","CAP-DAMPING HINGE,LH 파손",파손(1),,,,,,,,,,,,,,
CAP-DARK GRAY,MOLDING-TAILLIGHT A 후면 충돌파손,파손(14),분실(9),교체(7),마모(1),충돌(1),충전(1),운행(1),멈춤(1),에러(1),온도(1),,,,,
CAP-HINGE,"DOOR-REFRIGERATOR,REAR 오염으로 토탈케어",오염(1),,,,,,,,,,,,,,
